"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.565865990E-1,-4.785645287E-3,4.307080805E-2,9.769894600E0,9.769990711E0
5.587891040E-1,4.785645287E-3,4.307080805E-2,9.774680138E0,9.774776202E0
5.609812630E-1,4.785645287E-3,5.742774159E-2,9.789037704E0,9.789207324E0
5.631872860E-1,0.000000000E0,4.307080805E-2,9.784252167E0,9.784346966E0
5.653706570E-1,9.571290575E-3,4.785645381E-2,9.789037704E0,9.789159363E0
5.675657770E-1,-1.435693540E-2,4.785645381E-2,9.789037704E0,9.789165212E0
5.697581800E-1,9.571290575E-3,5.264209956E-2,9.793823242E0,9.793969394E0
5.719572350E-1,1.435693540E-2,3.349951655E-2,9.784252167E0,9.784320048E0
5.741480210E-1,-9.571290575E-3,2.392822690E-2,9.779465675E0,9.779499633E0
5.763245960E-1,-4.785645287E-3,3.888336942E-2,9.798608780E0,9.798687098E0
5.785457980E-1,0.000000000E0,4.307080805E-2,9.798608780E0,9.798703441E0
5.807367560E-1,-9.571290575E-3,4.785645381E-2,9.779465675E0,9.779587453E0
5.829136260E-1,-4.785645287E-3,4.785645381E-2,9.779465675E0,9.779583940E0
5.851129570E-1,0.000000000E0,4.307080805E-2,9.798608780E0,9.798703441E0
5.873282180E-1,0.000000000E0,4.307080805E-2,9.798608780E0,9.798703441E0
5.895307520E-1,0.000000000E0,3.349951655E-2,9.798608780E0,9.798666044E0
5.917252200E-1,0.000000000E0,4.307080805E-2,9.784252167E0,9.784346966E0
5.939156410E-1,4.785645287E-3,4.785645381E-2,9.798608780E0,9.798726813E0
5.961097720E-1,-4.785645287E-3,4.785645381E-2,9.784252167E0,9.784370373E0
5.983093680E-1,-9.571290575E-3,4.307080805E-2,9.793823242E0,9.793922626E0
6.005048840E-1,0.000000000E0,4.785645381E-2,9.779465675E0,9.779582769E0
6.027004820E-1,9.571290575E-3,4.307080805E-2,9.789037704E0,9.789137137E0
6.048955180E-1,-9.571290575E-3,5.264209956E-2,9.789037704E0,9.789183928E0
6.070912180E-1,-9.571290575E-3,3.828516230E-2,9.793823242E0,9.793902749E0
6.092874160E-1,-9.571290575E-3,5.264209956E-2,9.793823242E0,9.793969394E0
6.114835120E-1,4.785645287E-3,5.742774159E-2,9.774680138E0,9.774850006E0
6.136795160E-1,-2.871387079E-2,5.324030295E-2,9.793225288E0,9.793412100E0
6.158763840E-1,-4.785645287E-3,4.785645381E-2,9.793823242E0,9.793941333E0
6.180720840E-1,0.000000000E0,4.785645381E-2,9.769894600E0,9.770011808E0
6.202668270E-1,0.000000000E0,4.307080805E-2,9.774680138E0,9.774775030E0
6.224626680E-1,-4.785645287E-3,4.307080805E-2,9.793823242E0,9.793919118E0
6.246580610E-1,0.000000000E0,4.785645381E-2,9.779465675E0,9.779582769E0
6.268545950E-1,-4.785645287E-3,5.264209956E-2,9.779465675E0,9.779608529E0
6.290439360E-1,-4.785645287E-3,4.845465720E-2,9.808179855E0,9.808300711E0
6.312212540E-1,4.785645287E-3,3.828516230E-2,9.765109062E0,9.765185285E0
6.334439000E-1,9.571290575E-3,4.307080805E-2,9.774680138E0,9.774779716E0
6.356402300E-1,-4.785645287E-3,4.307080805E-2,9.779465675E0,9.779561692E0
6.378402520E-1,-4.785645287E-3,4.307080805E-2,9.789037704E0,9.789133627E0
6.400301320E-1,0.000000000E0,3.888336942E-2,9.803394318E0,9.803471429E0
6.422272450E-1,-9.571290575E-3,3.349951655E-2,9.774680138E0,9.774742228E0
6.444218360E-1,-9.571290575E-3,5.264209956E-2,9.784252167E0,9.784398462E0
6.466178910E-1,0.000000000E0,4.785645381E-2,9.798608780E0,9.798725645E0
6.488137420E-1,0.000000000E0,4.307080805E-2,9.793823242E0,9.793917949E0
6.510121170E-1,0.000000000E0,5.264209956E-2,9.789037704E0,9.789179249E0
6.532063510E-1,-4.785645287E-3,5.264209956E-2,9.784252167E0,9.784394951E0
6.554008810E-1,4.785645287E-3,4.785645381E-2,9.793823242E0,9.793941333E0
6.575964880E-1,9.571290575E-3,4.785645381E-2,9.779465675E0,9.779587453E0
6.597925630E-1,-4.785645287E-3,3.828516230E-2,9.779465675E0,9.779541786E0
6.619825250E-1,0.000000000E0,4.785645381E-2,9.784252167E0,9.784369203E0
6.641599140E-1,4.785645287E-3,4.307080805E-2,9.774680138E0,9.774776202E0
6.663809930E-1,1.435693540E-2,4.307080805E-2,9.789037704E0,9.789142986E0
6.685726540E-1,4.785645287E-3,4.785645381E-2,9.784252167E0,9.784370373E0
6.707593610E-1,-9.571290575E-3,4.785645381E-2,9.765109062E0,9.765231019E0
6.729619870E-1,-4.785645287E-3,5.264209956E-2,9.793823242E0,9.793965887E0
6.751331700E-1,4.785645287E-3,4.307080805E-2,9.769894600E0,9.769990711E0
6.773392750E-1,0.000000000E0,3.349951655E-2,9.774680138E0,9.774737542E0
6.795559200E-1,-9.571290575E-3,5.264209956E-2,9.793823242E0,9.793969394E0
6.817578550E-1,-9.571290575E-3,3.349951655E-2,9.769894600E0,9.769956721E0
6.839541130E-1,0.000000000E0,3.828516230E-2,9.779465675E0,9.779540615E0
6.861448180E-1,-4.785645287E-3,4.845465720E-2,9.808179855E0,9.808300711E0
6.883410560E-1,9.571290575E-3,3.828516230E-2,9.789037704E0,9.789117250E0
6.905349840E-1,0.000000000E0,4.785645381E-2,9.789037704E0,9.789154684E0
