"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.515909470E-1,-2.924029350E0,6.992425919E0,4.628317356E0,8.880613122E0
3.537870020E-1,-3.168097258E0,6.969096184E0,4.650450706E0,8.957222428E0
3.559831890E-1,-3.406781197E0,6.912266254E0,4.630111694E0,8.990190053E0
3.581755510E-1,-3.569493294E0,6.878767014E0,4.609772682E0,9.017134921E0
3.603572130E-1,-3.717848301E0,6.865008354E0,4.613361835E0,9.068287772E0
3.625717000E-1,-3.822534084E0,6.855436802E0,4.622334957E0,9.109048305E0
3.647605620E-1,-3.913461447E0,6.831508636E0,4.564309120E0,9.100418039E0
3.669430070E-1,-3.970889091E0,6.807580471E0,4.530211449E0,9.090320556E0
3.691645650E-1,-3.999603033E0,6.763911247E0,4.439284325E0,9.025218285E0
3.713809960E-1,-4.033102512E0,6.720840454E0,4.353142738E0,8.965794108E0
3.735446140E-1,-4.018745422E0,6.677171707E0,4.281956196E0,8.892136169E0
3.757661890E-1,-4.009174347E0,6.634100914E0,4.238885403E0,8.834756552E0
3.779564970E-1,-3.994817495E0,6.600003242E0,4.186841488E0,8.777713328E0
3.801460830E-1,-3.980460405E0,6.542575359E0,4.105485439E0,8.689324949E0
3.823353310E-1,-3.946960926E0,6.527021885E0,3.976871252E0,8.602093942E0
3.845309900E-1,-3.884747505E0,6.497709751E0,3.829114437E0,8.483726337E0
3.867271060E-1,-3.822534084E0,6.458228111E0,3.633501291E0,8.338033869E0
3.889232620E-1,-3.764508247E0,6.428318024E0,3.370888948E0,8.176655017E0
3.911143540E-1,-3.649652719E0,6.416952133E0,3.132802963E0,8.019457217E0
3.932926270E-1,-3.573082447E0,6.401398659E0,2.946761131E0,7.901153342E0
3.955131890E-1,-3.482155085E0,6.376274109E0,2.693720102E0,7.748445233E0
3.977078390E-1,-3.386442184E0,6.369693756E0,2.412563324E0,7.606671480E0
3.999096720E-1,-3.280559778E0,6.358926296E0,2.169093609E0,7.476829755E0
4.020994300E-1,-3.180061340E0,6.352345943E0,1.925624013E0,7.360238920E0
4.042897280E-1,-3.074777126E0,6.403791428E0,1.716252089E0,7.308099634E0
4.064664550E-1,-2.935993433E0,6.445665836E0,1.558923960E0,7.252372676E0
4.086882160E-1,-2.821137905E0,6.492924213E0,1.435095429E0,7.223322145E0
4.108852480E-1,-2.691925526E0,6.539584160E0,1.316650629E0,7.193482668E0
4.130879460E-1,-2.548356056E0,6.582056999E0,1.221535921E0,7.163081944E0
4.152760560E-1,-2.395215511E0,6.609574318E0,1.117448211E0,7.118442281E0
4.174717450E-1,-2.227717876E0,6.647261143E0,1.051645517E0,7.089059594E0
4.196676780E-1,-2.060818434E0,6.656234264E0,1.014556766E0,7.041431149E0
4.218642210E-1,-1.902892232E0,6.646663189E0,1.049252748E0,6.992857908E0
4.240545700E-1,-1.730608940E0,6.622136593E0,1.031306505E0,6.921798427E0
4.262343790E-1,-1.539781332E0,6.492924213E0,1.009771109E0,6.748972446E0
4.284538110E-1,-1.406381488E0,6.474380016E0,1.201795220E0,6.733484777E0
4.306444530E-1,-1.349551916E0,6.571887493E0,1.584646821E0,6.893627575E0
4.328295020E-1,-1.244267821E0,6.640082836E0,1.824527264E0,6.997699780E0
4.350402160E-1,-1.130010486E0,6.678966045E0,1.978266120E0,7.056844052E0
4.372298730E-1,-9.672985673E-1,6.760322094E0,2.108675003E0,7.147316392E0
4.394119000E-1,-8.093722463E-1,6.856633186E0,2.267199516E0,7.266959181E0
4.416287280E-1,-6.520441771E-1,7.010372162E0,2.449652195E0,7.454614365E0
4.438256580E-1,-5.276173949E-1,7.140182972E0,2.612364054E0,7.621354141E0
4.460316810E-1,-4.271188378E-1,7.269993305E0,2.756531715E0,7.786764428E0
4.482173610E-1,-3.122633696E-1,7.408777237E0,2.852244616E0,7.944985079E0
4.504130190E-1,-1.788634956E-1,7.537989616E0,2.958127022E0,8.099616971E0
4.526080990E-1,-2.093719877E-2,7.648657799E0,3.078366280E0,8.244922282E0
4.548041830E-1,1.417747438E-1,7.730013371E0,3.232105255E0,8.379720232E0
4.570003400E-1,2.943171859E-1,7.797610760E0,3.391227961E0,8.508218571E0
4.591963140E-1,4.570291340E-1,7.850851059E0,3.559323788E0,8.632121628E0
4.613935490E-1,6.287141442E-1,7.894520283E0,3.708875179E0,8.744969243E0
4.635916990E-1,7.956135273E-1,7.942376614E0,3.853640795E0,8.863684027E0
4.657867880E-1,9.726824164E-1,7.981259823E0,3.945764542E0,8.956320520E0
4.679809410E-1,1.168295622E0,8.043473244E0,4.028316975E0,9.071367820E0
4.701701800E-1,1.359721422E0,8.091329575E0,4.101297855E0,9.172736818E0
4.723475590E-1,1.593619823E0,8.157731056E0,4.155136585E0,9.292650869E0
4.745687500E-1,1.823330879E0,8.239086151E0,4.204787731E0,9.428006999E0
4.767582550E-1,2.053041935E0,8.315058708E0,4.225126743E0,9.550229238E0
4.789417050E-1,2.330011129E0,8.434102058E0,4.260420799E0,9.732122830E0
4.811583090E-1,2.626721144E0,8.544171333E0,4.300500393E0,9.919517698E0
4.833543850E-1,2.951546669E0,8.687142372E0,4.326223373E0,1.014368173E1
4.855563400E-1,3.310470104E0,8.844470978E0,4.375874519E0,1.040827349E1
4.877403710E-1,3.664009571E0,8.997013092E0,4.406980991E0,1.066736576E1
4.899088690E-1,4.037290096E0,9.158528328E0,4.413561344E0,1.093882426E1
4.920982510E-1,4.419543266E0,9.305686951E0,4.344169617E0,1.118033908E1
4.943086790E-1,4.821537495E0,9.443274498E0,4.269991875E0,1.143046314E1
4.965296370E-1,5.246861935E0,9.571290970E0,4.191627026E0,1.169225847E1
4.987209920E-1,5.715256691E0,9.699306488E0,4.108476639E0,1.198416813E1
5.009092760E-1,6.184250355E0,9.831509590E0,4.010969162E0,1.228785607E1
5.031201010E-1,6.671787739E0,9.964311600E0,3.903890133E0,1.261113062E1
5.053247320E-1,7.192824841E0,1.013001442E1,3.821337700E0,1.299832847E1
5.075146130E-1,7.738388538E0,1.031007481E1,3.685544968E0,1.340759268E1
5.097059460E-1,8.321639061E0,1.049970531E1,3.541377544E0,1.385766370E1
5.118991430E-1,8.919246674E0,1.070788097E1,3.382254839E0,1.434054825E1
5.140979650E-1,9.550951958E0,1.094955635E1,3.227917671E0,1.488398200E1
5.162947740E-1,1.016291618E1,1.117747307E1,3.083152056E0,1.541838500E1
5.184906050E-1,1.077009487E1,1.141017437E1,2.958127022E0,1.596676355E1
5.206856230E-1,1.133001518E1,1.167159081E1,2.860619545E0,1.651600497E1
5.228817990E-1,1.187976646E1,1.192343521E1,2.787040234E0,1.706061991E1
5.250714260E-1,1.237747288E1,1.218544960E1,2.732603550E0,1.758277961E1
5.272488140E-1,1.279860973E1,1.242293739E1,2.681756020E0,1.803678463E1
5.294702900E-1,1.324307728E1,1.263230896E1,2.602792740E0,1.848590965E1
5.316621340E-1,1.364985657E1,1.279860973E1,2.509472847E0,1.887910086E1
5.338495420E-1,1.405603886E1,1.293081379E1,2.397608280E0,1.924907008E1
5.360540410E-1,1.446760368E1,1.302532959E1,2.251646042E0,1.959695581E1
5.382315410E-1,1.484985733E1,1.305284786E1,2.149353027E0,1.988755436E1
5.404548180E-1,1.524646759E1,1.305105305E1,2.056631088E0,2.017460015E1
5.426457360E-1,1.562872124E1,1.303131199E1,2.040479422E0,2.045080869E1
5.448477620E-1,1.599183178E1,1.300678539E1,2.038684845E0,2.071403838E1
5.470385680E-1,1.636451340E1,1.297268772E1,2.032104731E0,2.098135780E1
5.492346540E-1,1.668934059E1,1.292901897E1,2.067996979E0,2.121250180E1
5.514318780E-1,1.699980927E1,1.285723400E1,2.118844509E0,2.141941837E1
5.536273240E-1,1.727259064E1,1.283749390E1,2.154138565E0,2.162831361E1
5.558223220E-1,1.749213219E1,1.281835079E1,2.246860504E0,2.180213723E1
5.580116210E-1,1.774038696E1,1.283809185E1,2.363510609E0,2.202553324E1
5.601890400E-1,1.795035744E1,1.290030479E1,2.513062000E0,2.224744202E1
5.624104050E-1,1.820399666E1,1.300618744E1,2.711068153E0,2.253655467E1
5.646065720E-1,1.845225143E1,1.314497089E1,2.889333248E0,2.283909126E1
5.668026160E-1,1.869631958E1,1.334178066E1,3.090928555E0,2.317561901E1
5.689986610E-1,1.892543221E1,1.355294704E1,3.245265722E0,2.350289572E1
5.711772100E-1,1.910250092E1,1.376830196E1,3.441477060E0,2.379738315E1
5.734072210E-1,1.925085640E1,1.400818157E1,3.643072367E0,2.408519461E1
5.755928490E-1,1.938964081E1,1.424806213E1,3.781856298E0,2.435709101E1
5.777827500E-1,1.952363777E1,1.450708580E1,3.948755503E0,2.464184734E1
5.799534250E-1,1.963849449E1,1.476072502E1,4.116253376E0,2.490969713E1
5.821749210E-1,1.974856377E1,1.501017666E1,4.283750534E0,2.517263778E1
5.843710470E-1,1.988256073E1,1.525962830E1,4.417150497E0,2.544963056E1
5.865741410E-1,1.998784637E1,1.544626808E1,4.584648132E0,2.567333634E1
5.887639100E-1,2.012662888E1,1.560479259E1,4.747958183E0,2.590625115E1
5.909581950E-1,2.030310059E1,1.573460388E1,4.911268711E0,2.615175354E1
5.931475160E-1,2.054716873E1,1.577767467E1,5.047060966E0,2.639306700E1
5.953304800E-1,2.079063797E1,1.581177235E1,5.187639713E0,2.663032816E1
5.975467070E-1,2.105803490E1,1.576810265E1,5.256433010E0,2.682729921E1
5.997436050E-1,2.132543373E1,1.565803337E1,5.288137913E0,2.697985425E1
6.019448290E-1,2.163590240E1,1.550907993E1,5.276772022E0,2.713831528E1
6.041326650E-1,2.196551323E1,1.531705570E1,5.241477966E0,2.728679274E1
6.063114970E-1,2.231366920E1,1.505324745E1,5.173282623E0,2.740917630E1
6.085270940E-1,2.263370895E1,1.477448368E1,5.062614441E0,2.749909479E1
6.107213080E-1,2.293460655E1,1.445324707E1,4.970490932E0,2.756081110E1
6.129183400E-1,2.319183540E1,1.412184143E1,4.863411903E0,2.758514836E1
6.151151170E-1,2.344009018E1,1.378624725E1,4.709074974E0,2.759843887E1
6.173113040E-1,2.368355942E1,1.347398472E1,4.511068821E0,2.761899695E1
6.195086210E-1,2.392224503E1,1.317069435E1,4.308277130E0,2.764601687E1
6.217046660E-1,2.415135765E1,1.285843086E1,4.053441525E0,2.765967659E1
6.238974750E-1,2.434218407E1,1.248814106E1,3.764508247E0,2.761642835E1
6.260828490E-1,2.452404022E1,1.209930801E1,3.470789194E0,2.756570661E1
6.282911320E-1,2.461915398E1,1.164766216E1,3.133401155E0,2.741512318E1
6.304874610E-1,2.468555450E1,1.116251755E1,2.791825771E0,2.723550422E1
6.326865580E-1,2.473281288E1,1.064447117E1,2.444866419E0,2.703690388E1
6.348791350E-1,2.474716949E1,1.008275604E1,2.088335991E0,2.680383395E1
6.370693210E-1,2.472264290E1,9.488738060E0,1.784447432E0,2.654109030E1
6.392479390E-1,2.465504646E1,8.865407944E0,1.494915962E0,2.624312382E1
6.414689480E-1,2.455394936E1,8.209176064E0,1.243071318E0,2.591972660E1
6.436583100E-1,2.443371010E1,7.529016495E0,9.966106415E-1,2.558682300E1
6.458443140E-1,2.425604248E1,6.830312252E0,7.639086246E-1,2.521095632E1
6.480553830E-1,2.403051949E1,6.131010056E0,5.545366406E-1,2.480650443E1
6.502518660E-1,2.371945190E1,5.461019516E0,3.493520916E-1,2.434249740E1
