"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.686966640E-1,1.645903015E1,-8.590232849E0,2.190629244E0,1.869466850E1
4.708936850E-1,1.640220070E1,-8.417949677E0,2.194218397E0,1.856633133E1
4.730947150E-1,1.634537125E1,-8.264809608E0,2.198405743E0,1.844752631E1
4.752860500E-1,1.630230141E1,-8.111668587E0,2.178066730E0,1.833870696E1
4.774801320E-1,1.626461411E1,-7.972885132E0,2.172683001E0,1.824349530E1
4.796766240E-1,1.619761467E1,-7.819744587E0,2.161915302E0,1.811587713E1
4.818726080E-1,1.614078522E1,-7.666603565E0,2.160718918E0,1.799917953E1
4.840692120E-1,1.605942917E1,-7.489534855E0,2.159522533E0,1.785110459E1
4.862654410E-1,1.599302864E1,-7.341179848E0,2.124826431E0,1.772525808E1
4.884622990E-1,1.590210152E1,-7.168896675E0,2.151745796E0,1.757554899E1
4.906580900E-1,1.580698681E1,-7.034898758E0,2.102692842E0,1.742905476E1
4.928558030E-1,1.572622871E1,-6.881757736E0,2.082353830E0,1.729187834E1
4.950497120E-1,1.562573051E1,-6.747759819E0,2.085943222E0,1.714779507E1
4.972399880E-1,1.551147270E1,-6.642475605E0,2.065604210E0,1.699985260E1
4.994170720E-1,1.538764381E1,-6.522834301E0,2.035095692E0,1.683652470E1
5.016383250E-1,1.527278900E1,-6.431907177E0,2.009970903E0,1.669333690E1
5.038383270E-1,1.514417458E1,-6.312266350E0,1.980060697E0,1.652608152E1
5.060526920E-1,1.501496220E1,-6.221338749E0,1.954936147E0,1.636997010E1
5.082204370E-1,1.489591885E1,-6.092126369E0,1.919641972E0,1.620763485E1
5.103929230E-1,1.477687645E1,-6.006583214E0,1.846660852E0,1.605756133E1
5.125924050E-1,1.467159176E1,-5.915655613E0,1.744965911E0,1.591525972E1
5.148154180E-1,1.455733490E1,-5.830112457E0,1.657627940E0,1.576876473E1
5.170174550E-1,1.444786358E1,-5.758327484E0,1.575075507E0,1.563265685E1
5.192133470E-1,1.429472256E1,-5.667400360E0,1.516451359E0,1.545180069E1
5.214044680E-1,1.412303734E1,-5.596213818E0,1.423729420E0,1.525794214E1
5.236009000E-1,1.398006630E1,-5.534000397E0,1.341177106E0,1.509523667E1
5.257961510E-1,1.383171082E1,-5.462215900E0,1.301097274E0,1.492798984E1
5.279931940E-1,1.367916870E1,-5.395216942E0,1.242473125E0,1.475709191E1
5.301825850E-1,1.353141212E1,-5.352146149E0,1.198205948E0,1.460069450E1
5.323616020E-1,1.340698528E1,-5.319244862E0,1.106082320E0,1.446599593E1
5.345803410E-1,1.328315639E1,-5.319244862E0,9.762716293E-1,1.434188677E1
5.367774030E-1,1.317308712E1,-5.300700188E0,8.745766878E-1,1.422647290E1
5.389805480E-1,1.309232903E1,-5.310869694E0,7.495517135E-1,1.414836542E1
5.411703790E-1,1.300140190E1,-5.353940487E0,6.484549642E-1,1.407556834E1
5.433588860E-1,1.292961693E1,-5.416752338E0,4.953143001E-1,1.402717135E1
5.455365280E-1,1.287697506E1,-5.517848969E0,3.661018610E-1,1.401417762E1
5.477579640E-1,1.278126240E1,-5.613562107E0,2.895315289E-1,1.396268515E1
5.499480170E-1,1.266221905E1,-5.747560024E0,2.362912297E-1,1.390762636E1
5.521227000E-1,1.254736328E1,-5.848058701E0,2.069791555E-1,1.384481695E1
5.543134440E-1,1.239422321E1,-5.958128452E0,1.441675574E-1,1.375270330E1
5.565041890E-1,1.222672558E1,-6.053841114E0,1.004985496E-1,1.364374987E1
5.587401720E-1,1.205444241E1,-6.120242119E0,5.623133108E-2,1.351924951E1
5.609289530E-1,1.190190029E1,-6.168098450E0,7.178467698E-3,1.340524974E1
5.631309900E-1,1.170568848E1,-6.225526333E0,-4.187439755E-2,1.325828323E1
